width,height,patches,sm_fraction,latency_ms,mean_ms,std_ms,samples,backend,sm_enforced
224,224,49,0.25,6.599679946899414,7.231218269893101,1.4615249606240583,7,libsmctrl,True
224,224,49,0.5,4.798463821411133,5.17603199822562,1.2394077344448389,7,libsmctrl,True
224,224,49,0.75,5.683199882507324,6.0976274354117255,1.3747185270280478,7,libsmctrl,True
224,224,49,1.0,4.908031940460205,5.7671725409371515,1.3771345513764852,7,libsmctrl,True
336,336,100,0.25,7.520256042480469,8.566820553370885,1.7704700994304012,7,libsmctrl,True
336,336,100,0.5,5.045440196990967,5.171538352966309,0.7039695185983632,7,libsmctrl,True
336,336,100,0.75,4.912288188934326,4.9290012291499545,0.9243580061562167,7,libsmctrl,True
336,336,100,1.0,4.822015762329102,4.722125632422311,0.47057805961132476,7,libsmctrl,True
448,448,196,0.25,9.854975700378418,9.93164334978376,0.38916337433496195,7,libsmctrl,True
448,448,196,0.5,7.620607852935791,7.209033148629325,1.4699342776177327,7,libsmctrl,True
448,448,196,0.75,5.993472099304199,6.523625101361956,1.5510347009060088,7,libsmctrl,True
448,448,196,1.0,4.022272109985352,4.251963411058698,0.9215084686434604,7,libsmctrl,True
672,672,441,0.25,20.263935089111328,20.464785984584264,1.7519194591504856,7,libsmctrl,True
672,672,441,0.5,11.789312362670898,12.045458112444196,0.6099270149995569,7,libsmctrl,True
672,672,441,0.75,10.874879837036133,10.886728967939105,0.9229082041434997,7,libsmctrl,True
672,672,441,1.0,9.562111854553223,9.441334792545863,1.91319157825121,7,libsmctrl,True
